millis,stamp,datetime,temp
8781999,1497834002,42905.04167,15.3
8782999,1497834004,42905.04167,15.3
8784000,1497834005,42905.04167,15.3
8784999,1497834006,42905.04167,15.3
8785998,1497834007,42905.04167,15.3
8786999,1497834008,42905.04167,15.3
8787999,1497834009,42905.04167,15.3
8788999,1497834010,42905.04167,15.3
8789999,1497834011,42905.04167,15.3
8790999,1497834012,42905.04167,15.4
8791999,1497834013,42905.04167,15.4
8792998,1497834014,42905.04167,15.4
8793999,1497834015,42905.04167,15.3
8794999,1497834016,42905.04167,15.3
8795999,1497834017,42905.04167,15.3
8796999,1497834018,42905.04167,15.3
8797999,1497834019,42905.04167,15.3
8799000,1497834020,42905.04167,15.3
8800000,1497834021,42905.04167,15.3
8801000,1497834022,42905.04167,15.3
8801999,1497834023,42905.04167,15.3
8803000,1497834024,42905.04167,15.3
8803999,1497834025,42905.04167,15.3
8804999,1497834026,42905.04167,15.3
8805999,1497834027,42905.04167,15.3
8806999,1497834028,42905.04167,15.3
8807999,1497834029,42905.04167,15.3
8808999,1497834030,42905.04167,15.3
8810000,1497834031,42905.04167,15.3
8810999,1497834032,42905.04167,15.3
8811999,1497834033,42905.04167,15.3
8812999,1497834034,42905.04167,15.3
8813999,1497834035,42905.04167,15.3
8814999,1497834036,42905.04167,15.3
8815998,1497834037,42905.04167,15.3
8816999,1497834038,42905.04167,15.3
8817999,1497834039,42905.04167,15.3
8818999,1497834040,42905.04167,15.3
8819999,1497834041,42905.04167,15.3
8820999,1497834042,42905.04167,15.3
8821999,1497834043,42905.04167,15.3
8822999,1497834044,42905.04167,15.3
8823999,1497834045,42905.04167,15.3
8824998,1497834046,42905.04167,15.3
8825999,1497834047,42905.04167,15.3
8826999,1497834048,42905.04167,15.3
8827999,1497834049,42905.04167,15.3
8828999,1497834050,42905.04167,15.3
8829999,1497834051,42905.04167,15.3
8831000,1497834052,42905.04167,15.3
8832000,1497834053,42905.04167,15.3
8832999,1497834054,42905.04167,15.3
8833998,1497834055,42905.04167,15.3
8834999,1497834056,42905.04167,15.3
8835998,1497834057,42905.04167,15.3
8836999,1497834058,42905.04167,15.3
8837998,1497834059,42905.04167,15.3
8839000,1497834060,42905.04236,15.3
8839999,1497834061,42905.04236,15.3
8840998,1497834062,42905.04236,15.3
8841999,1497834063,42905.04236,15.3
8842999,1497834064,42905.04236,15.3
8843999,1497834065,42905.04236,15.3
8844998,1497834066,42905.04236,15.3
8846000,1497834067,42905.04236,15.3
8846999,1497834068,42905.04236,15.3
8847998,1497834069,42905.04236,15.3
8848999,1497834070,42905.04236,15.3
8849998,1497834071,42905.04236,15.3
8851000,1497834072,42905.04236,15.3
8851998,1497834073,42905.04236,15.3
8853000,1497834074,42905.04236,15.3
8853999,1497834075,42905.04236,15.3
8855000,1497834076,42905.04236,15.4
8856000,1497834077,42905.04236,15.4
8856999,1497834078,42905.04236,15.3
8858000,1497834079,42905.04236,15.3
8858999,1497834080,42905.04236,15.3
8859999,1497834081,42905.04236,15.3
8860999,1497834082,42905.04236,15.3
8861999,1497834083,42905.04236,15.3
8862999,1497834084,42905.04236,15.3
8864000,1497834085,42905.04236,15.3
8864999,1497834086,42905.04236,15.3
8865998,1497834087,42905.04236,15.3
8866999,1497834088,42905.04236,15.3
8867998,1497834089,42905.04236,15.3
8868999,1497834090,42905.04236,15.3
8870000,1497834091,42905.04236,15.3
8871000,1497834092,42905.04236,15.3
8872000,1497834093,42905.04236,15.3
8872998,1497834094,42905.04236,15.3
8873999,1497834095,42905.04236,15.3
8874999,1497834096,42905.04236,15.3
8875999,1497834097,42905.04236,15.3
8876999,1497834098,42905.04236,15.3
8877999,1497834099,42905.04236,15.3
8878999,1497834100,42905.04236,15.3
8880000,1497834101,42905.04236,15.3
8881000,1497834102,42905.04236,15.3
8881999,1497834103,42905.04236,15.3
8883000,1497834104,42905.04236,15.3
8883999,1497834105,42905.04236,15.3
8884999,1497834106,42905.04236,15.3
8885999,1497834107,42905.04236,15.3
8886999,1497834108,42905.04236,15.3
8888000,1497834109,42905.04236,15.3
8888998,1497834110,42905.04236,15.3
8890000,1497834111,42905.04236,15.3
8890999,1497834112,42905.04236,15.3
8891999,1497834113,42905.04236,15.3
8892998,1497834114,42905.04236,15.3
8893999,1497834115,42905.04236,15.3
8895000,1497834116,42905.04236,15.3
8896000,1497834117,42905.04236,15.3
8897000,1497834118,42905.04236,15.3
8897999,1497834119,42905.04236,15.3
8898999,1497834120,42905.04306,15.3
8899999,1497834121,42905.04306,15.3
8900999,1497834122,42905.04306,15.3
8901998,1497834123,42905.04306,15.3
8902999,1497834124,42905.04306,15.3
8903999,1497834125,42905.04306,15.3
8904998,1497834126,42905.04306,15.3
8906000,1497834127,42905.04306,15.3
8906998,1497834128,42905.04306,15.3
8907999,1497834129,42905.04306,15.3
8908998,1497834130,42905.04306,15.3
8909999,1497834131,42905.04306,15.3
8911000,1497834132,42905.04306,15.3
8911998,1497834133,42905.04306,15.3
8912999,1497834134,42905.04306,15.3
8913999,1497834135,42905.04306,15.3
8914999,1497834136,42905.04306,15.3
8915999,1497834137,42905.04306,15.3
8916999,1497834138,42905.04306,15.3
8917999,1497834139,42905.04306,15.3
8918999,1497834140,42905.04306,15.3
8919999,1497834141,42905.04306,15.3
8920999,1497834142,42905.04306,15.3
8921999,1497834143,42905.04306,15.3
8922999,1497834144,42905.04306,15.3
8923999,1497834145,42905.04306,15.3
8924998,1497834146,42905.04306,15.3
8925999,1497834147,42905.04306,15.3
8927000,1497834148,42905.04306,15.3
8928000,1497834149,42905.04306,15.3
8929000,1497834150,42905.04306,15.3
8929999,1497834151,42905.04306,15.3
8930998,1497834152,42905.04306,15.3
8931999,1497834153,42905.04306,15.3
8932999,1497834154,42905.04306,15.3
8933999,1497834155,42905.04306,15.3
